brand,aspect,negative_review
Audi,Price/Value,car of my dreams turns out to be a dud ive wanted this car for  years i finally purchased one after test driving all other vehicles in its class just to be sure only k miles when i purchased and was a lease return keep in mind i made sure they put new rotors and break pads on the vehicle when i purchased it i have owned this car less than one year and put k miles on it i had completed the k mile service no problem just took it in for the k service and was told it needed new brake pads and rotors along with brake fluid flush oil pressure valve replacement and of course thats on top of the  price tag for the normal maintenance at k miles all of that totalling  and i havent even owned the vehicle for a year i knew that audis were expensive to fix but did not realize the poor quality of the factory parts such as brake pads and rotors im not a crazy driver and take pride in driving my car gently only occasionally speeding and braking when needed on a side note the blue tooth is horrible and the navigation is useless after this experience i have lost faith in audi i definitely will not be purchasing one again i do not feel that this car is worth the price tagdisappointing altogether
Audi,Service/Maintenance,nice car  horrible service audi service is horriblei bought new a q tdi and a q for my wifefirst the audi dealer overfills the oil in the q causing all kinds of problems and would not fix them because the car was just out of warrantythen my coolant in the q starts leaking all over the garage and they say it wont be fixed under warranty because the leak could be caused from an outside influencei called audi america who says sorry nothing we can doi am going to relay my terrible experience on every blog i can findsuch a shame as i really loved the q and thought i could get more than k miles out of itfyi criswell in annapolis was the dealer
Audi,Design/Style,lovely vehicle but far too many issues for the price weve owned a premium plus  q for around four months and have driven it extensively in city and on highwayits a fine vehicle very comfortable and has plenty of powerhowever there are many small issues with the car that really boggle the mind at the kish price the multimedia system is frankly awful its design that feels a decade old the control dial scrolls things the opposite way from other consumer devices eg ipod and the menu system is convoluted the gps is completely useless the maps provided with the car are at least  years old and the routing is poor the gas cap cover has broken already  months in flimsy construction
Audi,Price/Value, q t premium recently purchased the q premium with what appears to be the standard option list in my area of heated seats sunroof and convenience packageonly other option was the monsoon grey paint i hate the extra charge for paint car drives like an a with better utilitygas mileage has been on the higher side i drive mainly on a parkway  with stop  go trafficdeceptively fast as you almost always feel you are going slower then the speedo indicates and quite smooth for an cuvi should have ordered a premium plus stripped for the same base price but did not want to wait  extra weeksbest description a sports sedan in cuv body
Audi,Service/Maintenance,very sorry i bought this car the q is great but ive had a very bad experience with mine and cant give it a good reviewthe skylight shattered by itself in very cold weather and the dealer told me it is a known issue with the  q in cold weatherthe dealer has had the car for a month and its still not fixedthey say the skylight has to come from germany and they cant get a correct replacement partrusnak says thell make it up to me by giving me a couple of payments but it doesnt really make up for the time losti bought the car because i wanted to drive it and so far it just hasnt worked out
Audi,Design/Style,i dont like a car that thinks its smarter then me i have owned my q for  months and  miles there has never been a time that ive driven this car that i havent gotten aggravated to no end with its stupidity let me paint a picture about their presense anti collision assistance driving down the new jersey turnpike i proceed to pass another car turn signal on drift in the left start to accelerate and bam abs is activated intent on stoping this car well needless to say i get the sign a peace from the gentleman behind and and really obnoxious horn beeping rightfully soi look like an idiot that pulled out and tried to stop  that happen twice the dealer tells me theyre aware their pre sense  is very sensitive and its for my protection really there wasnt even a car in front of me   issue number two the transmission  when i start out from a stop  the transmission has to decide what gear it supposed to be in before we go clunking and banging  ok off we go the transmission  is interested in doing one thing and thats getting into the highest gear possible before you go  feet no matter what your input is you would think being a perceived highline german car audi wouldve engineered out this unsophisticated jolting and horrible mapping of a transmission  the paddle shifters are a toy the car will override your imput whenever it feels like even in manual mode   lets talk about aceleration better yet heres an exercise if youre so inclined to test drive one on ramp simulation bring the car down to about  miles an hour now theres room to merge in consider alltraffic is doing  to  miles an hour so punch the pedel  to the floor i guarantee there will be a three second delay before that car moves pretty scary with your nose out in traffic  there are other issues but i think you get my point i would seriously think long and hard and test drive the hell out of this car if you decide to consider from experience your dealership will be no help audi corporate could care less and will send you back to the dealer telling you that all is normalall that being said i will say that once the car gets moving its comfortable its not quiet and you need to pay attention to keep it straight mine likes to continually try to drift leftagain audi tells me all is good and typical of all wheel drive cars that are front wheel drive biased wrong thanks for reading in closing save yourself some money this is not a highline car and there are much better cars out there for what you will spend for this
Audi,Service/Maintenance,fire hazard notified of a recall for my q due to fire hazard parts for repair not available until late   my dealer jack daniels told me to call audi usa audi usa told me to contact my dealer  they refuse to provide a loaner and told me to stop driving the car if a light goes on the dashboard they couldnt tell me what the light looks like also told me not to garage the car terrible company to deal with
Audi,Service/Maintenance,noisy q if you are interested in buying a audi q take it on the freeway for along test drive my vehicle front end is very noisy service adviser went on a test drive with me and he said it is the highway they will not admit that it is the noisy vehicle im sorry i bought this vehicle i will not advise anyone to purchase a audi ever
Audi,Engine/Performance,lemon like other reviewers i was very excited to have decided to buy a brand new  audi q  i did months of research and based on reliability and owner satisfaction scores in consumer reports i went with the q over a volvo xc  i am regretting that choice  i have owned the vehicle for less than  months  the night i brought it home the front drivers side turn signal stopped working  it sat in the shop for  days while they replaced both headlight assemblies  then last week with just  miles on the car the engine failed which landed me brokendown on the side of the road with my yearold grandpa on a short road trip  now the dealer said that an entire new engine has to put in the car  the dealer acts like they are doing me a favor instead of being embarrassed and apologetic for this poor quality vehicle  owning an audi has been nothing but a nightmare
Audi,Comfort/Interior,wanted to give it all s having a problem with the sport heatedventilated front seats in  q the drivers seat doesnt heat much at all dealer measured it at  degrees  the passengers goes to  still very poor the service tech at audi dealer initially said  those numbers were within spec after further discussion they agreed to bring it up with audi rep who said this is an emerging concern with audi and the engineers in germany were working on it no one will give me a timeframe on a fix which im told is just a software code update very frustrating brand new luxury vehicle should deliver what you pay for
Audi,Design/Style,i expected more i had researched the car quite a bit and really wanted to like it   disappointed
Audi,Engine/Performance, issues in first  days  days in shop with  miles we have gone through the following  sunfroof shade replaced then entire sunroof  front power windows when trying to go autoup they would sometimes go all the way down and we couldnt stop then  the dash vent had plastic debris from the vent which is not smooth but jagged they fell into the vent and rattled until we almost lost our minds  took audi  visits of  and  days to diagnose   rear led reading lights dont work properly  needed to be replaced  unbelievable  never had these issues with bmw porsche toyota or ford  i will never buy another audi
Audi,Service/Maintenance,q audi disappointed i just bought q compare to other cars it looks better  after i bought i found some problems light malfunction signed showed up it has fixed clicking noise after it start and driver side heating seatit does not get hot compare to other seats it went to the service but they can not do anything i have to pick up my car without any solution just disappointed
Audi,Comfort/Interior,audi q research all options before purchase some that should come with plus only come with prestige    front storage is poorly designed you cannot drive over  mph with one window open or the entire car will start to shake transmission takes a full second to change when switching from drive to reverse and visa versa
Audi,Comfort/Interior,my review know that there are two types of front seats normal and sport seating  the sport seating is very uncomfortable  overall i like the car
Audi,Service/Maintenance,audi q  intermittent window problem this is my brand new audi q that has an intermittent problem that occurs as followa from a complete close position i rolled down the window by a few inchesb then i rolled up the window by pulling the switch up once or hold itresult occasionally it will roll down completely as you can see from the recording i took the q to the dealer and left it there for more than  week they first said there was no problem until i demonstrated the problem and the service manager experience the problem himselfthey changed the the motor and the window seal  still they cannot fix the problem this is extremely frustrated because it is safety issue  in the winter if i roll down my window by an inch to get some fresh air then the snow plow on the opposite traffic comes with all the slush and salt and sand on the street now i want to close my window and it may roll down completely and expose me to the road hazard i was also told by the dealership that it happens with a few q in their lot this is extremely frustrated  i will update how audi addresses this problem
Audi,Engine/Performance,poor qualitdesign check the noise under the dash solenoid activation noise every time start the car and reach sped between  mils repaid the noise restart the car reach the same speed per audi it is normal prior year q does not make this noise or any q or any other
Audi,Price/Value,troubling initial quality issues on  q after major camshaft failure within  miles of ownership on one of the last  qs our car was swapped by audi for a new  q  while we agreee with what others have written about the new  q the initial quality issues that weve encountered around the steering wheel and driver side mirror are extremely disappointing  while we pointed out both issues on initial delivery of the car both have unfortunately become long drawn out issues with service and then corporate audi got involved  the driver mirror had some unexplained heavy caking on inside sides and bottom almost like paint primer that service rushed to clean which they only got about  off  then left us with the car so that they could work on it again when we brought back to replace the steering wheel that had a  slit in the leather wheel at delivery  now the led  strip on that side view mirror is popping out along with moisture seeping in and service is saying its not covered  would be interested in hearing from any other consumers with similar problem on the driver mirror and how you are resolving it as replacing an entire side view mirror is quite expensive
Audi,Price/Value,audi heaven cant go wrong
Audi,Service/Maintenance,audi q
Audi,Mileage/Fuel,bought my leased audi q the only complaint i have is the difficulty and steps to use the mmi
Audi,Comfort/Interior,is  recalls in  years enough this is my rd q and the quality is way down from previous models  recalls and a completely frozen steering column needing to be towed out of a parking lot were enough and now they make them in mexico
Audi,Comfort/Interior,q large mirrors causes driver blind spots i am leasing this car  it is my first audi  my husband loves his audi so i thought i would try one after driving a mercedes gl  for  years  it has only been  months and i hate this car my   biggest complaints  the side mirrors are huge  so big that it causes major blind spots very dangerous  i have seen many complaints of this issue online and disappointed audi has not responded to fix when you are at an intersection making a left the mirror will cause a blind spot to the cars median or island of the street you are entering i would not buy this car because of this safety issue   the sensors in the front and back of  the car  are also way to sensitive and will start to beep when are you are no where close to hitting something   so sensitive  i find them to be more of a distraction and ignore the beeps  so whats the purpose when you start tuning it out
Audi,Comfort/Interior,ride is great mmi is terrible im coming up on a year with the q  i love the ride it sits well and handles well in the snow  unfortunately the mmi system that controls the navigation and entertainment is terrible  it is not intuitive it is both on the steering wheel if you can figure out which dial to roll and has a small joystick on the console  it is way too confusing too distracting there is no touch screen and overtime i try to use it i get frustrated  the book doesnt help at all because a lot of things arent in there or arent explained clearly  the system is so bad that it colors my entire feelings about the car
Audi,Comfort/Interior,"audi q   month review  tires   flat tires in  months when i have never had a flat prior  no full size space  oem tires already discontinued after  months  i now have one tire that does not match and audi has said i need to replace all the tires if i want them to match although audi does not recommend driving with tires that do not match  audi customer service awful said it would not replace the tires then said it would i have a voicemail then said it would not actual highway mpg has been  versus posted   i care about vehicle range hence why this matters for me   rattling in the winter  constant rattles that went away when temperatures warmed up"
Audi,Engine/Performance,fun to drive electronics are a hassle this turbo suv is a blast to drive the leather wrapped steering wheel and shifter feel expensive  does great in the snow with factory tires backup camera peeps when in reverse if there is something in front of the car so not helpful too many clicks to do simple things like change the radio station or climate control overly complicated electronics i came from a lexus rx put this engine in a lexus and i would go back in a heartbeatupdate   drove over eisenhower pass in colorado and the transmission popped out of gear several times this is an automatic dealer was clueless sold car shortly after not interested in a new car that expensive giving me headaches also one random time the locked drivers door popped open while driving
Audi,Comfort/Interior,not cool in the desert the sunroof is so hot the shade doesnt stop the heat from your head and the ac does not cool the cab to comfort bad ac shame on you audi i expected better for what we paid
Audi,Service/Maintenance,brakes screech known issue with no resolution the brakes have been screeching since  miles  called audi care and representative said it is a known issue with no remedy  i will never buy or lease another audi  horrible product and response from audi  i cannot wait for my lease to ends  do not purchase or lease this vehicle
Audi,Comfort/Interior,audi q in a rain storm just got back from driving on route  in a terrible rain  and wind   storm today was another  example of why i purchased  an audi suv  it holds the road so well and just feels very safe to drive especially under bad driving conditions
Audi,Design/Style,design flaw during snow or rain when the rear hatch is opened to gain access to the rear compartment water snow dirt and salt build up in the drain channel and then run into the rear compartment ive seen the mess run over the rubber seal the dealer said they cannot do anything but maybe audi will contact me and see if the problem can be solved to date no additional contact
Audi,Mileage/Fuel,audi q front led light broken  times i am reporting review audi q  year of  because the front daylight headlight running sets problems i purchased an audi q in  it happened  times of front headlight daylight running sets broken in  months my cars current mileage is only  mile which is apparently not the led headlight quality problem which is highly possible on the electrical problems now i am waiting for audis response to see they will treat it as a lemon car case or not
Audi,Service/Maintenance,buyer beware audi q is a great vehicle as long as you do not drive under  mph i have a major transmission issue rd replacement in  months audi corporate will not stand behind their products and work with you to satisfy yourself as a consumer my vehicle has lurched and hesitated when coming to a stop causing  near accidents i have never experienced such poor customer service form a corporate and a dealer standpoint they act like it is my fault there is an issue you have been warned
Audi,Price/Value,andy d compare price offered to kkbcom
Audi,Design/Style,in pieces on the shop floor at  miles beautiful paperweight for the first four weeks i owned it timing shaft tensioner failed then second time in it was the camshaft that failed audi refused buyback saying basically too bad
